id	line_name	station_name	lon	lat	route_numbers
84	Sokolnicheskaya	Октябрьская ул.	37.2810869	55.4258225	А1024
85	Sokolnicheskaya	Красное	37.29616415	55.42448832	А1024
86	Sokolnicheskaya	Красное	37.29559678	55.42467314	А1024
87	Sokolnicheskaya	Военный санаторий Пахра	37.30609557	55.42871502	А1024
88	Sokolnicheskaya	Военный санаторий Пахра	37.30491686	55.42787072	А1024
89	Sokolnicheskaya	Софьино	37.31698907	55.4309577	А1024
90	Sokolnicheskaya	ЖК Остров Эрин	37.33001767	55.43216768	А1024
91	Sokolnicheskaya	ЖК Остров Эрин	37.32809888	55.43218523	А1024
92	Sokolnicheskaya	Дерюбрихово	37.33742449	55.43253495	А1024
93	Sokolnicheskaya	Дерюбрихово	37.33598235	55.43278992	А1024
94	Sokolnicheskaya	Кузенево	37.35112859	55.42977697	А1024
95	Sokolnicheskaya	Кузенево	37.35046039	55.42980344	А1024
96	Sokolnicheskaya	Известия	37.36746848	55.43321554	А1024
97	Sokolnicheskaya	Известия	37.36630515	55.43359996	А1024
98	Sokolnicheskaya	Шаганино	37.37557602	55.43380956	А1024
99	Sokolnicheskaya	Шаганино	37.37583361	55.43350735	А1024
100	Sokolnicheskaya	Софьино	37.31876639	55.43091773	А1024
101	Sokolnicheskaya	Октябрьская ул.	37.28077327	55.42568317	А1024
102	Sokolnicheskaya	Поселок №3	37.38839157	55.347344	А1026
103	Sokolnicheskaya	Дачное товарищество	37.36870623	55.35030687	А1026
104	Sokolnicheskaya	Дачное товарищество	37.36871569	55.34998894	А1026
105	Sokolnicheskaya	Поселок Курилово	37.37567579	55.37292014	А1026
106	Sokolnicheskaya	Косовка	37.14324633	55.30530599	А1028
107	Sokolnicheskaya	Косовка	37.14424868	55.30586524	А1028
108	Sokolnicheskaya	Семенково	37.12755208	55.29013184	А1028
109	Sokolnicheskaya	Семенково	37.12831317	55.29040964	А1028
110	Sokolnicheskaya	Львово	37.11480954	55.27785953	А1028
111	Sokolnicheskaya	Львово	37.11611566	55.27873119	А1028
112	Sokolnicheskaya	Комбикормовый завод	37.12351699	55.28591864	А1028
113	Sokolnicheskaya	Комбикормовый завод	37.12220904	55.28497369	А1028
114	Sokolnicheskaya	Усадьба Вороново	37.15328941	55.31575675	А1028
115	Sokolnicheskaya	Усадьба Вороново	37.15351644	55.31532086	А1028
116	Sokolnicheskaya	Бунчиха	37.03663968	55.2365676	А1028
117	Sokolnicheskaya	Чусовская ул.	37.81061171	55.81039741	А102к
118	Sokolnicheskaya	Метро Новые Черемушки	37.55489831	55.66862459	А103
119	Sokolnicheskaya	Ул. Акад. Полякова	37.55840109	55.66738281	А103
120	Sokolnicheskaya	Драмтеатр	37.54069468	55.69080715	А103
121	Sokolnicheskaya	Драмтеатр	37.54002938	55.6908799	А103
122	Sokolnicheskaya	23-й кв. Новых Черемушек	37.56489397	55.66897614	А103
123	Sokolnicheskaya	23-й кв. Новых Черемушек	37.56548332	55.66849996	А103
124	Sokolnicheskaya	Ул. Ивана Бабушкина	37.55548976	55.68247921	А103
125	Sokolnicheskaya	Центр здоровья детей	37.54802291	55.68660988	А103
126	Sokolnicheskaya	Рябиновая улица, 14	37.42252066	55.71378971	А103
127	Sokolnicheskaya	93-й кв. Кунцева	37.42362274	55.71650216	А103
128	Sokolnicheskaya	Рябиновая улица, 14	37.42299797	55.71386623	А103
